Group,prime,target,question,answer,prime_type,target_type,prime_id,target_id,ques_ind
a1,The dog was confined to the living room while the vacuum was running.,The rabbit hopped across the street without getting hit by a car.,Was the rabbit hit by the car?,No,Filler,Filler,filler13,filler54,1
a1,The old sheikh bought his mischievous son a car.,The annoyed coach read his disgruntled team the rules.,Was the team enthusiastic?,No,DO,DO,bought1,read1,1
a1,The seated boy rose up to answer the teacher's question on the chalkboard.,The jogger inhaled deeply in an attempt to regain his breath.,Did the boy get out of his seat?,Yes,Filler,Filler,filler40,filler24,0
a1,The contestants each ate over ten hot dogs as part of a speed-eating competition.,The angry welder deleted the email without sending it to his boss.,Did the contestants eat the hot dogs leisurely?,No,Filler,Filler,filler36,filler47,0
a1,The singer practiced all day until she could hit the high notes every time.,Maria went upstairs and changed into jeans and a fitted blouse.,Did Maria change into a dress?,No,Filler,Filler,filler28,filler60,1
a1,The experienced lawyer sent the contract to his anxious client.,The hospitable hostess fixed her friendly guests some dessert.,Was the client calm?,No,PO,DO,sent2,fixed1,0
a1,The thieves stole the jewels but left everything else untouched.,The kindergartner said goodbye to her mother and happily ran to her friends.,Did the thieves steal everything?,No,Filler,Filler,filler51,filler5,0
a1,Peter did all the dishes before putting his children to bed.,They drew lots to settle who should make dinner that day.,Did Peter finish doing the dishes?,Yes,Filler,Filler,filler16,filler18,0
a1,The teenagers swore to be best friends forever.,John became more frustrated with each passing minute.,Did the teenagers dislike each other?,No,Filler,Filler,filler57,filler4,0
a1,The spy came very quietly and secretly to escape the soldiers.,The married couple woke up before dawn in order to prepare for the trip.,Did the spy make a lot of noise?,No,Filler,Filler,filler12,filler9,0
a1,The baseball player tossed his best friend the ball.,The irritable manager handed the inexperienced clerk the report.,Did a baseball player toss the ball?,Yes,DO,DO,tossed2,handed2,0
a1,The fish swam all around Jane and nipped at her legs.,The children shrank back from the clown in revulsion.,Did the children dislike the clown?,Yes,Filler,Filler,filler58,filler45,1
a1,"The dieting boy deprived himself of sweets, sodas, and sugars.","Judy sank into the luxurious seat, enjoying the smell of leather.",Did the boy continue to eat sugary food?,No,Filler,Filler,filler49,filler46,0
