Group,sent_type,struc,prime_type,verb,verb_num,sent_id,sentence
list_1A,filler,filler,NA,NA,NA,Filler48,Adam's hand shook slightly as
list_1A,filler,filler,NA,NA,NA,Filler9,Foreigners unfailingly fall in love with
list_1A,prime,rrc,NA,approached,1,approached1,The student approached by the teacher
list_1A,target,rrc_ambig,rrc,approached,2,approached2,The clerk approached
list_1A,filler,filler,NA,NA,NA,Filler7,The spy came
list_1A,filler,filler,NA,NA,NA,Filler47,Lily trod on a lot of toes when
list_1A,prime,prog_rrc,NA,studied,1,studied1,The soldier being studied by the general
list_1A,target,rrc_ambig,prog_rrc,studied,2,studied2,The writer studied
list_1A,filler,filler,NA,NA,NA,Filler17,The seated boy rose up to answer
list_1A,filler,filler,NA,NA,NA,Filler46,Maria went upstairs and
list_1A,prime,urc,NA,envied,1,envied1,The officer who was envied by the assistant
list_1A,target,rrc_ambig,urc,envied,2,envied2,The principal envied
list_1A,filler,filler,NA,NA,NA,Filler45,Patrick woke up to find himself
list_1A,filler,filler,NA,NA,NA,Filler13,The friends studied together all day for
list_1A,prime,prog_rrc,NA,encouraged,1,encouraged1,The gymnast being encouraged by the coach
list_1A,target,rrc_ambig,prog_rrc,encouraged,2,encouraged2,The musician encouraged
list_1A,filler,filler,NA,NA,NA,Filler44,The bulldozers were removing rubble from
list_1A,prime,rrc_ambig,NA,betrayed,1,betrayed1,The politician betrayed
list_1A,target,rrc_ambig,rrc_ambig,betrayed,2,betrayed2,The king betrayed
list_1A,filler,filler,NA,NA,NA,Filler22,The rabbit hopped across the street
list_1A,filler,filler,NA,NA,NA,Filler43,The contestants each ate
list_1A,prime,urc,NA,attacked,1,attacked1,The troops who were attacked by the terrorists
list_1A,target,rrc_ambig,urc,attacked,2,attacked2,The lion attacked
list_1A,filler,filler,NA,NA,NA,Filler42,The dieting boy deprived himself of sweets and
list_1A,prime,rrc_ambig,NA,scratched,1,scratched1,The girl scratched
list_1A,target,rrc_ambig,rrc_ambig,scratched,2,scratched2,The toddler scratched
list_1A,filler,filler,NA,NA,NA,Filler41,They drew lots to settle who should
list_1A,prime,urc,NA,challenged,1,challenged1,The protestors who were challenged by the authority
list_1A,target,rrc_ambig,urc,challenged,2,challenged2,The scientist challenged
list_1A,filler,filler,NA,NA,NA,Filler18,The talented lawyer argued that his client
list_1A,filler,filler,NA,NA,NA,Filler40,The flags in the gym
list_1A,prime,rrc,NA,admired,1,admired1,The singer admired by the fans
list_1A,target,rrc_ambig,rrc,admired,2,admired2,The princess admired
list_1A,filler,filler,NA,NA,NA,Filler5,The kindergartner bade good bye
list_1A,filler,filler,NA,NA,NA,Filler39,The wallpaper was a perfect choice for
list_1A,filler,filler,NA,NA,NA,Filler3,A different kind of fire arose within Andrew as
list_1A,filler,filler,NA,NA,NA,Filler8,The student pretended to
list_1A,prime,urc,NA,captured,1,captured1,The policeman who was captured by the kidnapper
list_1A,target,rrc_ambig,urc,captured,2,captured2,The witch captured
list_1A,filler,filler,NA,NA,NA,Filler38,The school principal labored constantly all summer
list_1A,prime,prog_rrc,NA,congratulated,1,congratulated1,The captain being congratulated by the team
list_1A,target,rrc_ambig,prog_rrc,congratulated,2,congratulated2,The actress congratulated
list_1A,filler,filler,NA,NA,NA,Filler37,The girls on the basketball team
list_1A,prime,rrc_ambig,NA,examined,1,examined1,The defendant examined
list_1A,target,rrc_ambig,rrc_ambig,examined,2,examined2,The engineer examined
list_1A,filler,filler,NA,NA,NA,Filler15,The basketball player's ankle
list_1A,filler,filler,NA,NA,NA,Filler36,Each of the cab drivers
list_1A,prime,rrc,NA,recognized,1,recognized1,The man recognized by the spy
list_1A,target,rrc_ambig,rrc,recognized,2,recognized2,The actor recognized
list_1A,filler,filler,NA,NA,NA,Filler35,The storekeepers were afraid that riots
list_1A,filler,filler,NA,NA,NA,Filler21,The chairman spoke for half an hour at
list_1A,prime,rrc_ambig,NA,introduced,1,introduced1,The speaker introduced
list_1A,target,rrc_ambig,rrc_ambig,introduced,2,introduced2,The producer introduced
list_1A,filler,filler,NA,NA,NA,Filler34,The hotel bathroom paint was
list_1A,prime,rrc,NA,selected,1,selected1,The applicant selected by the company
list_1A,target,rrc_ambig,rrc,selected,2,selected2,The professor selected
list_1A,filler,filler,NA,NA,NA,Filler33,All the parents at the meeting
list_1A,prime,urc,NA,recorded,1,recorded1,The priest who was recorded by the mob
